100_Libre_masc
4,"CONDE VARELA, DAVID",21906,"PONTON RODRIGUEZ, JAVIER",22895,5.0,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
5,"ARIAS FRANCO, ODEI",21919,"PONTON RODRIGUEZ, JAVIER",22895,5.0,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
6,"CONDE VARELA, DAVID",21906,"REGUEIRA MOURE, ANDER",25480,4.6,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
7,"ARIAS FRANCO, ODEI",21919,"REGUEIRA MOURE, ANDER",25480,4.6,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
8,"PONTON RODRIGUEZ, JUAN",22565,"PONTON RODRIGUEZ, JAVIER",22895,4.4,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
9,"PONTON RODRIGUEZ, JUAN",22565,"REGUEIRA MOURE, ANDER",25480,4.0,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
10,"PONTON RODRIGUEZ, JAVIER",22895,"REGUEIRA MOURE, ANDER",25480,3.4,0.0,3,"(('DAVILA LUSTRES, MANUEL', 5954.0), ('TOME SANLES, MANUEL', 10519.0))","(('MENDEZ PUGA, MARIO', 20957.0), ('CASTRO GARCIA, PEDRO', 21515.0))"
50_esp_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"PONTON RODRIGUEZ, JAVIER",2755,"ARIAS FRANCO, ODEI",2781,12.0,100.0,12,[],[]
2,"PONTON RODRIGUEZ, JAVIER",2755,"PONTON RODRIGUEZ, JUAN",3022,11.018181818181818,100.0,9,"(('DAVILA LUSTRES, MANUEL', 2839.0), ('SANLÉS DIESTE, HUGO', 3029.0))","(('MENDEZ PUGA, MARIO', 2825.0), ('PIÑEIRO RODRIGUEZ, SAMUEL', 2943.0))"
3,"ARIAS FRANCO, ODEI",2781,"PONTON RODRIGUEZ, JUAN",3022,11.018181818181818,100.0,9,"(('DAVILA LUSTRES, MANUEL', 2839.0), ('SANLÉS DIESTE, HUGO', 3029.0))","(('MENDEZ PUGA, MARIO', 2825.0), ('PIÑEIRO RODRIGUEZ, SAMUEL', 2943.0))"
4,"PONTON RODRIGUEZ, JAVIER",2755,"CONDE VARELA, DAVID",3137,9.672727272727272,96.60606060606061,8,"(('DAVILA LUSTRES, MANUEL', 2839.0), ('SANLÉS DIESTE, HUGO', 3029.0))","(('MENDEZ PUGA, MARIO', 2825.0), ('PIÑEIRO RODRIGUEZ, SAMUEL', 2943.0))"
5,"ARIAS FRANCO, ODEI",2781,"CONDE VARELA, DAVID",3137,9.672727272727272,96.60606060606061,8,"(('DAVILA LUSTRES, MANUEL', 2839.0), ('SANLÉS DIESTE, HUGO', 3029.0))","(('MENDEZ PUGA, MARIO', 2825.0), ('PIÑEIRO RODRIGUEZ, SAMUEL', 2943.0))"
6,"PONTON RODRIGUEZ, JAVIER",2755,"REGUEIRA MOURE, ANDER",3629,8.363636363636363,91.95959595959596,8,"(('DAVILA LUSTRES, MANUEL', 2839.0), ('SANLÉS DIESTE, HUGO', 3029.0))","(('MENDEZ PUGA, MARIO', 2825.0), ('PIÑEIRO RODRIGUEZ, SAMUEL', 2943.0))"
7,"ARIAS FRANCO, ODEI",2781,"REGUEIRA MOURE, ANDER",3629,8.363636363636363,91.95959595959596,8,"(('DAVILA LUSTRES, MANUEL', 2839.0), ('SANLÉS DIESTE, HUGO', 3029.0))","(('MENDEZ PUGA, MARIO', 2825.0), ('PIÑEIRO RODRIGUEZ, SAMUEL', 2943.0))"
8,"PONTON RODRIGUEZ, JUAN",3022,"CONDE VARELA, DAVID",3137,7.963636363636364,77.81818181818181,4,"(('DAVILA LUSTRES, MANUEL', 2839.0), ('SANLÉS DIESTE, HUGO', 3029.0))","(('MENDEZ PUGA, MARIO', 2825.0), ('PIÑEIRO RODRIGUEZ, SAMUEL', 2943.0))"
9,"PONTON RODRIGUEZ, JUAN",3022,"REGUEIRA MOURE, ANDER",3629,6.654545454545454,54.42424242424242,4,"(('DAVILA LUSTRES, MANUEL', 2839.0), ('SANLÉS DIESTE, HUGO', 3029.0))","(('MENDEZ PUGA, MARIO', 2825.0), ('PIÑEIRO RODRIGUEZ, SAMUEL', 2943.0))"
10,"CONDE VARELA, DAVID",3137,"REGUEIRA MOURE, ANDER",3629,5.044848484848485,22.3030303030303,3,"(('DAVILA LUSTRES, MANUEL', 2839.0), ('SANLÉS DIESTE, HUGO', 3029.0))","(('MENDEZ PUGA, MARIO', 2825.0), ('PIÑEIRO RODRIGUEZ, SAMUEL', 2943.0))"
400_Libre_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",43078,"PONTON RODRIGUEZ, JUAN",43438,6.4222222222222225,38.46913580246913,3,"(('SANLÉS DIESTE, HUGO', 40836.0), ('LAGES BRION, ALEXANDRE', 41928.0))","(('MENDEZ PUGA, MARIO', 35368.0), ('MASSO ROIG, MARTIN', 41465.0))"
100_Mari_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"PONTON RODRIGUEZ, JAVIER",10233,"BALLESTER IBAÑEZ, EDGAR",10313,9.09037037037037,91.25925925925927,3,"(('SANLÉS DIESTE, HUGO', 10119.0), ('PÉREZ LORENZO, MANUEL', 10211.0))","(('MENDEZ PUGA, MARIO', 5875.0), ('ALONSO GATO, OSCAR', 5876.0))"
2,"PONTON RODRIGUEZ, JAVIER",10233,"SUAREZ FERNÁNDEZ, SANTIAGO",10367,8.69037037037037,79.50617283950618,3,"(('SANLÉS DIESTE, HUGO', 10119.0), ('PÉREZ LORENZO, MANUEL', 10211.0))","(('MENDEZ PUGA, MARIO', 5875.0), ('ALONSO GATO, OSCAR', 5876.0))"
3,"BALLESTER IBAÑEZ, EDGAR",10313,"SUAREZ FERNÁNDEZ, SANTIAGO",10367,8.417777777777777,72.5925925925926,3,"(('SANLÉS DIESTE, HUGO', 10119.0), ('PÉREZ LORENZO, MANUEL', 10211.0))","(('MENDEZ PUGA, MARIO', 5875.0), ('ALONSO GATO, OSCAR', 5876.0))"
4,"PONTON RODRIGUEZ, JAVIER",10233,"ARIAS FRANCO, ODEI",10665,7.6903703703703705,62.22222222222222,3,"(('SANLÉS DIESTE, HUGO', 10119.0), ('PÉREZ LORENZO, MANUEL', 10211.0))","(('MENDEZ PUGA, MARIO', 5875.0), ('ALONSO GATO, OSCAR', 5876.0))"
5,"BALLESTER IBAÑEZ, EDGAR",10313,"ARIAS FRANCO, ODEI",10665,7.417777777777777,46.666666666666664,3,"(('SANLÉS DIESTE, HUGO', 10119.0), ('PÉREZ LORENZO, MANUEL', 10211.0))","(('MENDEZ PUGA, MARIO', 5875.0), ('ALONSO GATO, OSCAR', 5876.0))"
6,"PONTON RODRIGUEZ, JAVIER",10233,"CONDE VARELA, DAVID",11033,7.29037037037037,59.7037037037037,3,"(('SANLÉS DIESTE, HUGO', 10119.0), ('PÉREZ LORENZO, MANUEL', 10211.0))","(('MENDEZ PUGA, MARIO', 5875.0), ('ALONSO GATO, OSCAR', 5876.0))"
7,"PONTON RODRIGUEZ, JAVIER",10233,"PONTON RODRIGUEZ, JUAN",11110,7.29037037037037,59.7037037037037,3,"(('SANLÉS DIESTE, HUGO', 10119.0), ('PÉREZ LORENZO, MANUEL', 10211.0))","(('MENDEZ PUGA, MARIO', 5875.0), ('ALONSO GATO, OSCAR', 5876.0))"
8,"PONTON RODRIGUEZ, JAVIER",10233,"MARTINEZ ARGIZ, DAVID",11619,7.09037037037037,58.22222222222222,3,"(('SANLÉS DIESTE, HUGO', 10119.0), ('PÉREZ LORENZO, MANUEL', 10211.0))","(('MENDEZ PUGA, MARIO', 5875.0), ('ALONSO GATO, OSCAR', 5876.0))"
9,"BALLESTER IBAÑEZ, EDGAR",10313,"CONDE VARELA, DAVID",11033,7.017777777777778,46.51851851851852,3,"(('SANLÉS DIESTE, HUGO', 10119.0), ('PÉREZ LORENZO, MANUEL', 10211.0))","(('MENDEZ PUGA, MARIO', 5875.0), ('ALONSO GATO, OSCAR', 5876.0))"
10,"BALLESTER IBAÑEZ, EDGAR",10313,"PONTON RODRIGUEZ, JUAN",11110,7.017777777777778,46.51851851851852,3,"(('SANLÉS DIESTE, HUGO', 10119.0), ('PÉREZ LORENZO, MANUEL', 10211.0))","(('MENDEZ PUGA, MARIO', 5875.0), ('ALONSO GATO, OSCAR', 5876.0))"
50_Mari_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"PONTON RODRIGUEZ, JAVIER",2588,"PONTON RODRIGUEZ, JUAN",2621,12.0,100.0,12,[],[]
2,"PONTON RODRIGUEZ, JAVIER",2588,"ARIAS FRANCO, ODEI",2737,11.436363636363636,100.0,9,"(('PÉREZ LORENZO, MANUEL', 2622.0), ('DAVILA LUSTRES, MANUEL', 2753.0))","(('MENDEZ PUGA, MARIO', 2713.0), ('ALONSO GATO, OSCAR', 2734.0))"
3,"PONTON RODRIGUEZ, JUAN",2621,"ARIAS FRANCO, ODEI",2737,11.436363636363636,100.0,9,"(('PÉREZ LORENZO, MANUEL', 2622.0), ('DAVILA LUSTRES, MANUEL', 2753.0))","(('MENDEZ PUGA, MARIO', 2713.0), ('ALONSO GATO, OSCAR', 2734.0))"
4,"PONTON RODRIGUEZ, JAVIER",2588,"SUAREZ FERNÁNDEZ, SANTIAGO",2834,10.872727272727273,99.23232323232322,8,"(('PÉREZ LORENZO, MANUEL', 2622.0), ('DAVILA LUSTRES, MANUEL', 2753.0))","(('MENDEZ PUGA, MARIO', 2713.0), ('ALONSO GATO, OSCAR', 2734.0))"
5,"PONTON RODRIGUEZ, JUAN",2621,"SUAREZ FERNÁNDEZ, SANTIAGO",2834,10.872727272727273,99.23232323232322,8,"(('PÉREZ LORENZO, MANUEL', 2622.0), ('DAVILA LUSTRES, MANUEL', 2753.0))","(('MENDEZ PUGA, MARIO', 2713.0), ('ALONSO GATO, OSCAR', 2734.0))"
6,"PONTON RODRIGUEZ, JAVIER",2588,"BALLESTER IBAÑEZ, EDGAR",2864,10.690909090909091,98.9090909090909,8,"(('PÉREZ LORENZO, MANUEL', 2622.0), ('DAVILA LUSTRES, MANUEL', 2753.0))","(('MENDEZ PUGA, MARIO', 2713.0), ('ALONSO GATO, OSCAR', 2734.0))"
7,"PONTON RODRIGUEZ, JUAN",2621,"BALLESTER IBAÑEZ, EDGAR",2864,10.690909090909091,98.9090909090909,8,"(('PÉREZ LORENZO, MANUEL', 2622.0), ('DAVILA LUSTRES, MANUEL', 2753.0))","(('MENDEZ PUGA, MARIO', 2713.0), ('ALONSO GATO, OSCAR', 2734.0))"
8,"PONTON RODRIGUEZ, JAVIER",2588,"CONDE VARELA, DAVID",2878,10.309090909090909,98.62626262626263,8,"(('PÉREZ LORENZO, MANUEL', 2622.0), ('DAVILA LUSTRES, MANUEL', 2753.0))","(('MENDEZ PUGA, MARIO', 2713.0), ('ALONSO GATO, OSCAR', 2734.0))"
9,"PONTON RODRIGUEZ, JUAN",2621,"CONDE VARELA, DAVID",2878,10.309090909090909,98.62626262626263,8,"(('PÉREZ LORENZO, MANUEL', 2622.0), ('DAVILA LUSTRES, MANUEL', 2753.0))","(('MENDEZ PUGA, MARIO', 2713.0), ('ALONSO GATO, OSCAR', 2734.0))"
10,"ARIAS FRANCO, ODEI",2737,"SUAREZ FERNÁNDEZ, SANTIAGO",2834,9.832727272727272,85.17171717171718,4,"(('PÉREZ LORENZO, MANUEL', 2622.0), ('DAVILA LUSTRES, MANUEL', 2753.0))","(('MENDEZ PUGA, MARIO', 2713.0), ('ALONSO GATO, OSCAR', 2734.0))"
1500_Libre_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",183045,"REGUEIRA MOURE, ANDER",203215,4.2,0.0,3,"(('GONZALEZ MARIÑO, JORGE', 165338.0), ('SANLÉS DIESTE, HUGO', 170791.0))","(('MENDEZ PUGA, MARIO', 152959.0), ('ALONSO VIDAL, TEO', 164217.0))"
2,"CONDE VARELA, DAVID",183045,"BELTRAN DIAZ, EMILIO",214402,4.2,0.0,3,"(('GONZALEZ MARIÑO, JORGE', 165338.0), ('SANLÉS DIESTE, HUGO', 170791.0))","(('MENDEZ PUGA, MARIO', 152959.0), ('ALONSO VIDAL, TEO', 164217.0))"
3,"CONDE VARELA, DAVID",183045,"LOSADA TORRES, ISAAC",240461,4.2,0.0,3,"(('GONZALEZ MARIÑO, JORGE', 165338.0), ('SANLÉS DIESTE, HUGO', 170791.0))","(('MENDEZ PUGA, MARIO', 152959.0), ('ALONSO VIDAL, TEO', 164217.0))"
4,"REGUEIRA MOURE, ANDER",203215,"BELTRAN DIAZ, EMILIO",214402,3.0,0.0,3,"(('GONZALEZ MARIÑO, JORGE', 165338.0), ('SANLÉS DIESTE, HUGO', 170791.0))","(('MENDEZ PUGA, MARIO', 152959.0), ('ALONSO VIDAL, TEO', 164217.0))"
5,"REGUEIRA MOURE, ANDER",203215,"LOSADA TORRES, ISAAC",240461,3.0,0.0,3,"(('GONZALEZ MARIÑO, JORGE', 165338.0), ('SANLÉS DIESTE, HUGO', 170791.0))","(('MENDEZ PUGA, MARIO', 152959.0), ('ALONSO VIDAL, TEO', 164217.0))"
6,"BELTRAN DIAZ, EMILIO",214402,"LOSADA TORRES, ISAAC",240461,3.0,0.0,3,"(('GONZALEZ MARIÑO, JORGE', 165338.0), ('SANLÉS DIESTE, HUGO', 170791.0))","(('MENDEZ PUGA, MARIO', 152959.0), ('ALONSO VIDAL, TEO', 164217.0))"
